accessKey (typeText='string'; priority=50.0; typeGreyed)
class (typeText='string'; priority=50.0; typeGreyed)
classList (typeText=null; priority=50.0; typeGreyed)
className (typeText='string'; priority=50.0; typeGreyed)
contentEditable (typeText='string'; priority=50.0; typeGreyed)
dir (typeText='string'; priority=50.0; typeGreyed)
draggable (typeText='boolean'; priority=50.0; typeGreyed)
hidden (typeText='boolean'; priority=50.0; typeGreyed)
id (typeText='string'; priority=50.0; typeGreyed)
innerHTML (typeText='string'; priority=50.0; typeGreyed)
innerHtml (typeText='string'; priority=50.0; typeGreyed)
innerText (typeText='string'; priority=50.0; typeGreyed)
lang (typeText='string'; priority=50.0; typeGreyed)
outerHTML (typeText='string'; priority=50.0; typeGreyed)
outerText (typeText='string'; priority=50.0; typeGreyed)
scrollLeft (typeText='number'; priority=50.0; typeGreyed)
scrollTop (typeText='number'; priority=50.0; typeGreyed)
slot (typeText='string'; priority=50.0; typeGreyed)
spellcheck (typeText='boolean'; priority=50.0; typeGreyed)
style (typeText=null; priority=50.0; typeGreyed)
tabIndex (typeText='number'; priority=50.0; typeGreyed)
tabindex (typeText='number'; priority=50.0; typeGreyed)
textContent (typeText='string'; priority=50.0; typeGreyed)
title (typeText='string'; priority=50.0; typeGreyed)
translate (typeText='boolean'; priority=50.0; typeGreyed)
attr. (typeText=null; priority=0.0; typeGreyed)
class. (typeText=null; priority=0.0; typeGreyed)
style. (typeText=null; priority=0.0; typeGreyed)
