(abort) (tailText=null; typeText='UIEvent'; priority=50.0; typeGreyed)
(animationcancel) (tailText=null; typeText='AnimationEvent'; priority=50.0; typeGreyed)
(animationend) (tailText=null; typeText='AnimationEvent'; priority=50.0; typeGreyed)
(animationiteration) (tailText=null; typeText='AnimationEvent'; priority=50.0; typeGreyed)
(animationstart) (tailText=null; typeText='AnimationEvent'; priority=50.0; typeGreyed)
(auxclick) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(beforecopy) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(beforecut) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(beforeinput) (tailText=null; typeText='InputEvent'; priority=50.0; typeGreyed)
(beforepaste) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(beforetoggle) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(blur) (tailText=null; typeText='FocusEvent'; priority=50.0; typeGreyed)
(canplay) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(canplaythrough) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(change) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(click) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(close) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(compositionend) (tailText=null; typeText='CompositionEvent'; priority=50.0; typeGreyed)
(compositionstart) (tailText=null; typeText='CompositionEvent'; priority=50.0; typeGreyed)
(compositionupdate) (tailText=null; typeText='CompositionEvent'; priority=50.0; typeGreyed)
(contextlost) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(contextmenu) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(contextrestored) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(copy) (tailText=null; typeText='ClipboardEvent'; priority=50.0; typeGreyed)
(cuechange) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(cut) (tailText=null; typeText='ClipboardEvent'; priority=50.0; typeGreyed)
(dblclick) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(drag) (tailText=null; typeText='DragEvent'; priority=50.0; typeGreyed)
